Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.421,,Cervix uteri,total,total,1,Black,0.579,1986
0.43,,Cervix uteri,total,total,1,Black,0.57,1989
0.419,,Cervix uteri,total,total,1,Black,0.581,1992
0.372,,Cervix uteri,total,total,1,Black,0.628,1995
0.352,,Cervix uteri,total,total,1,Black,0.648,1998
0.34,,Cervix uteri,total,total,1,Black,0.66,2001
0.374,,Cervix uteri,total,total,1,Black,0.626,2006
0.417,0.583,Cervix uteri,total,total,1,Black,0.583,2013
0.42,,Cervix uteri,females,females,1,White,0.58,1963
0.36,,Cervix uteri,females,females,1,White,0.64,1973
0.303,,Cervix uteri,females,females,1,White,0.697,1977
0.319,,Cervix uteri,females,females,1,White,0.681,1980
0.322,,Cervix uteri,females,females,1,White,0.678,1983
0.312,,Cervix uteri,females,females,1,White,0.688,1986
0.275,,Cervix uteri,females,females,1,White,0.725,1989
0.291,,Cervix uteri,females,females,1,White,0.709,1992
0.258,,Cervix uteri,females,females,1,White,0.742,1995
0.264,,Cervix uteri,females,females,1,White,0.736,1998
0.266,,Cervix uteri,females,females,1,White,0.734,2001
0.292,,Cervix uteri,females,females,1,White,0.708,2006
0.292,0.708,Cervix uteri,females,females,1,White,0.708,2013
0.42,,Cervix uteri,total,total,1,White,0.58,1963
0.36,,Cervix uteri,total,total,1,White,0.64,1973
0.303,,Cervix uteri,total,total,1,White,0.697,1977
0.319,,Cervix uteri,total,total,1,White,0.681,1980
0.322,,Cervix uteri,total,total,1,White,0.678,1983
0.312,,Cervix uteri,total,total,1,White,0.688,1986
0.275,,Cervix uteri,total,total,1,White,0.725,1989
0.291,,Cervix uteri,total,total,1,White,0.709,1992
0.258,,Cervix uteri,total,total,1,White,0.742,1995
0.264,,Cervix uteri,total,total,1,White,0.736,1998
0.266,,Cervix uteri,total,total,1,White,0.734,2001
0.292,,Cervix uteri,total,total,1,White,0.708,2006
0.292,0.708,Cervix uteri,total,total,1,White,0.708,2013
0.494,,Colon and rectum,females,females,1,All races,0.506,1977
0.478,,Colon and rectum,females,females,1,All races,0.522,1980
0.458,,Colon and rectum,females,females,1,All races,0.542,1983
0.424,,Colon and rectum,females,females,1,All races,0.576,1986
